"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cuba","CUB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133265000","87208000","92889000","30025000","56716000","32215000","-16659000","-20843000","-35743000","-42884000","-41235000","-41016000","-134948000","-18862000","-19150000","-18681000","-9854000","0","0","0","0","0","0","0","0","0","","","","","","",
"Germany","DEU","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","376000","1297000","730000","265000","989000","430000","4000","-187000","-603000","-757000","-755000","-577000","-408000","-358000","-200000","-97000","-59000","-61000","-31000","","","","","","",
"Denmark","DNK","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","10549000","14451000","","-1087000","-2174000","-2164000","858000","2853000","2112000","3692000","36638000","27214000","22754000","23370000","10655000","6713000","-5400000","-1803000","-6082000","12102000","19663000","11861000","9964000","822000","-3101000","-4050000","-18759000","-15245000","-6283000","71691000","17803000","25628000","32568000","-1225000","29312000","26445000","32735000","34359000","-22902000","298632000","116170000","-12920000","58338000","-13974000","-12549000","44667000","1804000","-8910000","827000","17099000","244143000","2293000","",
"Algeria","DZA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-2614000","-2599000","-2824000","-2888000","-1080000","29856000","48693000","52663000","49584000","39796000","25510000","22387000","4960000","43440000","30294000","106076000","87351000","49895000","58061000","91583000","170232000","170728000","101326000","6137000","92095000","293634000","34272000","16531000","-151986000","-136616000","-113716000","-93899000","-129520000","-151890000","-149239000","-125313000","-661020000","-5885000","-102165000","-506000","-531000","-841000","-1146000","-5252000","-411000","-402000","-392000","-725000","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","18698000","24808000","36471000","44167000","52478000","173017000","269784000","331066000","394360000","485461000","620470000","944661000","960460000","1337801000","1202817000","1323234000","999849000","1243904000","1238705000","1285553000","1029690000","1355910000","423215000","1461745000","654509000","1122376000","390053000","1124649000","1765673000","1893890000","1325290000","331377000","-2140603000","-2191771000","-2375986000","-880762000","-781934000","-687283000","474629000","1173320000","2119647000","1492362000","1002654000","2100370000","1230418000","3318329000","1734352000","2326957000","2080521000","2190111000","2642690000","2629832000","",
